Aguardando conexão para iniciar a importação de mensagens:
    Whatsapp nome: Firstin Tecnologia
    Whatsapp Id: 1
    Criação do arquivo de logs: 14/02/2025 00:41:28
    Selecionado Data de inicio de importação: 01/12/2024 00:39:00 
    Selecionado Data final da importação: 14/02/2025 00:38:00 
     

Mensagem 284 de 2961
               

Mensagem 285 de 2961
               

Mensagem 286 de 2961
               

Mensagem 287 de 2961
               

Mensagem 288 de 2961
               

Mensagem 289 de 2961
               

Mensagem 290 de 2961
               

Mensagem 291 de 2961
               

Mensagem 292 de 2961
               

Mensagem 293 de 2961
               

Mensagem 294 de 2961
               

Mensagem 295 de 2961
               

Mensagem 296 de 2961
               

Mensagem 297 de 2961
               

Mensagem 298 de 2961
               

Mensagem 299 de 2961
               

Mensagem 300 de 2961
               

Mensagem 301 de 2961
               

Mensagem 302 de 2961
               

Mensagem 303 de 2961
               

Mensagem 304 de 2961
               

Mensagem 305 de 2961
               

Mensagem 306 de 2961
               

Mensagem 307 de 2961
               

Mensagem 308 de 2961
               

Mensagem 309 de 2961
               

Mensagem 310 de 2961
               

Mensagem 311 de 2961
               

Mensagem 312 de 2961
               

Mensagem 313 de 2961
               

Mensagem 314 de 2961
               

Mensagem 315 de 2961
               

Mensagem 316 de 2961
               

Mensagem 317 de 2961
               

Mensagem 318 de 2961
               

Mensagem 319 de 2961
               

Mensagem 320 de 2961
               

Mensagem 321 de 2961
               

Mensagem 322 de 2961
               

Mensagem 323 de 2961
               

Mensagem 324 de 2961
               

Mensagem 325 de 2961
               

Mensagem 326 de 2961
               

Mensagem 327 de 2961
               

Mensagem 328 de 2961
               

Mensagem 329 de 2961
               

Mensagem 330 de 2961
               

Mensagem 331 de 2961
               

Mensagem 332 de 2961
               

Mensagem 333 de 2961
               

Mensagem 334 de 2961
               

Mensagem 335 de 2961
               

Mensagem 336 de 2961
               

Mensagem 337 de 2961
               

Mensagem 338 de 2961
               

Mensagem 339 de 2961
               

Mensagem 340 de 2961
               

Mensagem 341 de 2961
               

Mensagem 342 de 2961
               

Mensagem 343 de 2961
               

Mensagem 344 de 2961
               

Mensagem 345 de 2961
               

Mensagem 346 de 2961
               

Mensagem 347 de 2961
               

Mensagem 348 de 2961
               

Mensagem 349 de 2961
               

Mensagem 350 de 2961
               

Mensagem 351 de 2961
               

Mensagem 352 de 2961
               

Mensagem 353 de 2961
               

Mensagem 354 de 2961
               

Mensagem 355 de 2961
               

Mensagem 356 de 2961
               

Mensagem 357 de 2961
               

Mensagem 358 de 2961
               

Mensagem 359 de 2961
               

Mensagem 360 de 2961
               

Mensagem 361 de 2961
               

Mensagem 362 de 2961
               

Mensagem 363 de 2961
               

Mensagem 364 de 2961
               

Mensagem 365 de 2961
               

Mensagem 366 de 2961
               

Mensagem 367 de 2961
               

Mensagem 368 de 2961
               

Mensagem 369 de 2961
               

Mensagem 370 de 2961
               

Mensagem 371 de 2961
               

Mensagem 372 de 2961
               

Mensagem 373 de 2961
               

Mensagem 374 de 2961
               

Mensagem 375 de 2961
               

Mensagem 376 de 2961
               

Mensagem 377 de 2961
               

Mensagem 378 de 2961
               

Mensagem 379 de 2961
               

Mensagem 380 de 2961
               

Mensagem 381 de 2961
               

Mensagem 382 de 2961
               

Mensagem 383 de 2961
               

Mensagem 384 de 2961
               

Mensagem 385 de 2961
               

Mensagem 386 de 2961
               

Mensagem 387 de 2961
               

Mensagem 388 de 2961
               

Mensagem 389 de 2961
               

Mensagem 390 de 2961
               

Mensagem 391 de 2961
               

Mensagem 392 de 2961
               

Mensagem 393 de 2961
               

Mensagem 394 de 2961
               

Mensagem 395 de 2961
               

Mensagem 396 de 2961
               

Mensagem 397 de 2961
               

Mensagem 398 de 2961
               

Mensagem 399 de 2961
               

Mensagem 400 de 2961
               

Mensagem 401 de 2961
               

Mensagem 402 de 2961
               

Mensagem 403 de 2961
               

Mensagem 404 de 2961
               

Mensagem 405 de 2961
               

Mensagem 406 de 2961
               

Mensagem 407 de 2961
               

